Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
O95786	DDX58	1.6607389763182e-08	47830.6071920956	13639.7436523438	1.81001180802391	3.69200870467658e-05
Q70E73	RAPH1	2.06758001008582e-08	32051.2938878677	6778.05969238281	2.24122551911425	3.69200870467658e-05
Q9NP74	PALMD	1.62209694472999e-08	57428.0792738971	34426.9584960938	0.738175675759501	3.69200870467658e-05
Q9BW30	TPPP3	4.12971478050067e-08	519380.479779412	95439.1689453125	2.44412329130857	5.53072051978552e-05
Q06323	PSME1	7.37731640813363e-08	403747.964154412	84519.58984375	2.25608024467144	6.76598938904659e-05
Q6UWP7	LCLAT1	7.57811019867081e-08	40085.0926011029	18787.2084960938	1.09323829838614	6.76598938904659e-05
P00390	GSR	1.61908016225356e-07	489257.178308824	223433.203125	1.13074296871232	7.06622669560841e-05
P19474	TRIM21	1.77095318099141e-07	78227.1062729779	14921.466796875	2.39018255496998	7.06622669560841e-05
P33993	MCM7	1.94981755469708e-07	18097.4157858456	8855.14904785156	1.0310322950733	7.06622669560841e-05
P67936	TPM4	1.31969512837292e-07	170662.860294118	52966.9189453125	1.68795839990238	7.06622669560841e-05
P80217	IFI35	1.20500420008068e-07	36248.5769761029	3074.28909301758	3.55913041711674	7.06622669560841e-05
Q13303	KCNAB2	1.1558486839575e-07	28497.9747242647	662.001159667969	5.42570419038658	7.06622669560841e-05
Q6ZP82	CCDC141	1.99923753947208e-07	15646.7858455882	61.6642799377441	7.96400730621261	7.06622669560841e-05
Q8IXI1	RHOT2	1.53240521361251e-07	22587.7691865809	6828.34631347656	1.72572239493232	7.06622669560841e-05
Q99584	S100A13	2.18560542515113e-07	531274.813419118	50734.7490234375	3.38838376835761	7.06622669560841e-05
Q9NRW3	APOBEC3C	1.18937811120243e-07	64149.5691636029	164394.8359375	-1.3576622756116	7.06622669560841e-05
Q9UL46	PSME2	2.24240906898158e-07	357025.191176471	68242.080078125	2.38727120457298	7.06622669560841e-05
P26447	S100A4	2.40462910636972e-07	863351.023897059	172675.806640625	2.32187293603485	7.1564434015681e-05
Q14764	MVP	2.95369438546206e-07	374299.914522059	52434.0302734375	2.83559185845234	8.1975224055123e-05
Q53GL7	PARP10	3.06048997779067e-07	18751.1782513787	3874.82189941406	2.27440706871637	8.1975224055123e-05
Q8IV08	PLD3	4.36551775942834e-07	63629.2632123162	11729.5710449219	2.43941717060676	0.000106341622238311
Q9H9T3	ELP3	4.36721241225096e-07	24337.9353170956	10640.5126953125	1.19350353864331	0.000106341622238311
O95487	SEC24B	4.57690793310085e-07	40954.4083180147	29589.6225585938	0.468878701623618	0.000106602155641832
O00478	BTN3A3	5.90889460700335e-07	49897.8075884651	1097.84255981445	5.50491982831616	0.00010971045374238
P15311	EZR	5.37475391626714e-07	326484.568933824	102104.63671875	1.67695229333498	0.00010971045374238
P32456	GBP2	5.41557200333042e-07	170812.858915441	18149.1545410156	3.23436284883764	0.00010971045374238
Q03519	TAP2	5.16750001871712e-07	99034.1130514706	6001.51605224609	4.04428629634611	0.00010971045374238
Q8IVG5	SAMD9L	5.93915093994591e-07	9779.02516084559	16.3628330230713	9.13754447886255	0.00010971045374238
Q8N3C0	ASCC3	5.66732102700674e-07	11427.406853171	3317.63525390625	1.78383608047538	0.00010971045374238
Q2M2I8	AAK1	7.14485460629189e-07	29992.2498276654	5870.71038818359	2.3527370314183	0.000127583287086352
Q09161	NCBP1	8.55216169575309e-07	13959.6031709559	5881.32409667969	1.2467997514285	0.000147786871626288
Q9NYU2	UGGT1	1.01499338302242e-06	161184.119944853	95775.0234375	0.75097317269503	0.000165057354377768
Q9Y3T9	NOC2L	1.01678041711151e-06	11074.3186753217	310.408996582031	5.15226350807216	0.000165057354377768
P47895	ALDH1A3	1.08215207942335e-06	66980.3490349265	21120.7216796875	1.66501045710385	0.000170502608513849
Q8TCT9	HM13	1.16165699719935e-06	87092.6240808824	25529.1137695313	1.77035057458935	0.000177799900971341
Q9Y4L1	HYOU1	1.31292361550088e-06	130996.143382353	53937.40625	1.28013953928965	0.000195370328006616
Q03518	TAP1	1.44667983657133e-06	281156.363511029	16881.5895996094	4.05776458092789	0.000198714458577246
Q7L2E3	DHX30	1.4152834526433e-06	16192.9793198529	7437.77380371094	1.12223171480704	0.000198714458577246
Q9NZT2	OGFR	1.43068923791797e-06	29381.137120864	6153.80383300781	2.2551054520275	0.000198714458577246
O14976	GAK	1.94588146222968e-06	11385.3966279871	728.040954589844	3.96504087901277	0.000206087981708593
O15533	TAPBP	1.78223891042394e-06	381539.792279412	35505.62109375	3.42567354798813	0.000206087981708593
O94929	ABLIM3	1.94620227690063e-06	15652.3728745404	7244.14331054688	1.11129525197827	0.000206087981708593
P28062	PSMB8	1.75434610550046e-06	284498.271139706	9668.37084960937	4.87885405335968	0.000206087981708593
P28065	PSMB9	1.71875104453586e-06	216506.381433824	6101.5360198617	5.14885683272363	0.000206087981708593
P41226	UBA7	1.9631123929909e-06	78278.3405330882	19168.5803222656	2.02979441920763	0.000206087981708593
P48960	ADGRE5	1.70741586859019e-06	13063.7098891314	682.758911132813	4.25593311760943	0.000206087981708593
P55042	RRAD	1.81214774963824e-06	147384.874080882	49711.3740234375	1.56791156390133	0.000206087981708593
Q01432	AMPD3	2.06108426059177e-06	1872816.09191176	497890.484375	1.91130598999964	0.000206087981708593
Q13325	IFIT5	2.03998890278085e-06	30866.2311006434	5981.494140625	2.36721035057507	0.000206087981708593
Q13574	DGKZ	1.94504583680813e-06	29924.2963579963	12868.19140625	1.21739591457558	0.000206087981708593
Q15293	RCN1	1.70596881935148e-06	58762.1841681985	24107.3432617188	1.28535550975102	0.000206087981708593
Q8IXQ6	PARP9	1.72220107921807e-06	26281.7826861213	5038.54965209961	2.38269641515402	0.000206087981708593
Q96JC1	VPS39	1.89597545229226e-06	33387.0518152574	19209.037109375	0.797428398422292	0.000206087981708593
Q96Q05	TRAPPC9	2.08728419941821e-06	7373.73170381434	3120.09338378906	1.24034340069842	0.000206087981708593
Q9BY42	RTF2	2.11589303602252e-06	10507.9989372702	1111.8681640625	3.23913336064326	0.000206087981708593
P10321	HLA-C	2.22147850308803e-06	703203.916360294	37805.1743164063	4.21724933273767	0.000212508220375761
P09417	QDPR	2.26993712238159e-06	798387.099264706	2110911.8125	-1.4027066777693	0.000213334266045582
O60725	ICMT	2.34998882298126e-06	83862.3005514706	17677.7397460938	2.24600697359678	0.00021704982973639
P00966	ASS1	2.52994785243012e-06	456954.698529412	208243.5078125	1.13377269997911	0.00022971068890624
P10415	BCL2	2.66954376541039e-06	8519.07882869945	31672.3520507813	-1.89450021376966	0.000238345765855058
P27797	CALR	3.07744550210488e-06	990812.957720588	436925.484375	1.1812221784383	0.000263538137884723
Q92542	NCSTN	3.04794812854615e-06	28129.9291130515	12629.7866210938	1.15516142689464	0.000263538137884723
Q9Y6E0	STK24	3.09929114928832e-06	24306.6085133272	13169.9299316406	0.883991398555893	0.000263538137884723
Q96AE4	FUBP1	3.28900455892242e-06	27697.1094324449	12745.3132324219	1.11965539981452	0.000275299959721054
Q5T1M5	FKBP15	3.58252449663991e-06	17259.8866613051	5288.07092285156	1.70633676477016	0.000291510633210881
Q7Z6Z7	HUWE1	3.59150677467204e-06	140386.227941176	89453.099609375	0.65018190599775	0.000291510633210881
P05362	ICAM1	3.89909734496269e-06	66019.1737132353	10942.7967529297	2.59277174010266	0.000311753201148734
Q9UKE5	TNIK	4.04054705636278e-06	9303.54510857077	4081.77239990234	1.18823141413324	0.000318311920307873
O14828	SCAMP3	4.34652805290427e-06	61174.1463694853	30489.5791015625	1.0045585134952	0.000337454359121857
Q92945	KHSRP	4.55104043669933e-06	62898.091796875	19960.2849121094	1.65581165902008	0.000348284623134262
P00441	SOD1	5.06535032141724e-06	1997944.60845588	3432370.125	-0.78068896659254	0.000367249390737183
P37802	TAGLN2	5.08901652266607e-06	327499.070772059	101130.602539063	1.69525691883959	0.000367249390737183
P51159	RAB27A	5.03836987859326e-06	16108.1172162224	838.429443359375	4.26223499819436	0.000367249390737183
Q3KQU3	MAP7D1	5.1012826236805e-06	62399.7745863971	34722.4194335938	0.845631791453787	0.000367249390737183
Q3YEC7	RABL6	5.14162858041604e-06	55194.3102022059	29410.4975585938	0.908139307582458	0.000367249390737183
Q12888	TP53BP1	5.21785139202724e-06	17178.4918428309	5576.48522949219	1.6229166900328	0.000367789867198552
P27824	CANX	5.36127643789863e-06	766250.613970588	408851.859375	0.906234594684428	0.000372991660750948
P53618	COPB1	5.56327811821708e-06	158991.634191176	89889.548828125	0.822709513304535	0.000382083088196011
O60610	DIAPH1	5.91648400496198e-06	29849.408203125	13219.6467285156	1.1749095763524	0.000386519570909529
P21283	ATP6V1C1	5.76694280362588e-06	53405.578125	20403.7839355469	1.38808300280589	0.000386519570909529
Q9H1A4	ANAPC1	5.88422878042075e-06	62226.2860753677	27610.75	1.17224181560349	0.000386519570909529
Q9NVM6	DNAJC17	5.89453749095191e-06	5891.18790211397	361.975296974182	4.02061529803351	0.000386519570909529
Q13107	USP4	6.02487116665855e-06	18866.2157628676	10756.7224121094	0.810432404436843	0.000388858251081806
P55145	MANF	6.29658544977908e-06	23690.8524241728	8207.12316894531	1.52920582441851	0.000396833038287842
Q00722	PLCB2	6.27089600311381e-06	7720.07828297335	121.034233093262	5.9832576616713	0.000396833038287842
Q16890	TPD52L1	6.81714559220178e-06	53230.729319853	27534.4072265625	0.950971387968404	0.000424644755086336
Q92835	INPP5D	7.144595950869e-06	15439.6514820772	0.693274796009064	13.1545364442154	0.000439926442629945
Q96T76	MMS19	7.23449335096965e-06	29198.3707490809	19326.4677734375	0.595235237490353	0.000440399782740277
A5YKK6	CNOT1	7.45915920627554e-06	17816.8624195772	8905.3115234375	1.00034331800882	0.00044101473425519
O14639	ABLIM1	7.42278599141774e-06	156559.750459559	35157.1240234375	2.1547833636282	0.00044101473425519
Q96AZ6	ISG20	7.49157006108313e-06	14275.1620088465	2076.06158447266	2.78089122127319	0.00044101473425519
Q96FQ6	S100A16	7.82553843374983e-06	27348.0292394301	2284.80151367188	3.58066483444367	0.000455667493365194
P49790	NUP153	7.94142816160605e-06	17977.9040670956	9605.48852539062	0.904143753823132	0.000457443340448641
O43290	SART1	8.03069639080864e-06	31086.6640625	10019.8540039063	1.63329034400849	0.000457664261335765
P48681	NES	8.86939036670239e-06	774529.755514706	86353.1943359375	3.16498250669948	0.000500140254678155
P57764	GSDMD	9.05609737636604e-06	81528.1579159007	7390.39697265625	3.4633794541311	0.000505349100470759
P30511	HLA-F	9.39757246654332e-06	43879.7262465533	2056.07763671875	4.41488637605136	0.000518997893848171
P49756	RBM25	9.55414878351247e-06	28793.2158777574	11455.8259277344	1.32952152468117	0.000522260969727309
P18887	XRCC1	9.73945589699951e-06	42522.5070082721	13826.8586425781	1.62064889603214	0.000527012780204307
O75746	SLC25A12	1.0130817501326e-05	2284390.48897059	3805291.5625	-0.736198093710725	0.000542707893546034
P19525	EIF2AK2	1.05149585964424e-05	27175.732019761	9863.59814453125	1.46198671097023	0.000557709239615267
P08195	SLC3A2	1.06478446929541e-05	19723.6662454044	7518.42395019531	1.39123369662526	0.000558720687490144
P14868	DARS1	1.09874035101136e-05	397343.301470588	269118.26171875	0.562140370327771	0.000558720687490144
P46087	NOP2	1.10930157701808e-05	18057.7700482537	5701.62048339844	1.66292281775314	0.000558720687490144
Q8WXI7	MUC16	1.11975272927075e-05	122218.309972426	316878.8984375	-1.37447570718645	0.000558720687490144
Q96C19	EFHD2	1.12641094360529e-05	83047.24609375	12773.6052246094	2.7006536201309	0.000558720687490144
Q96HS1	PGAM5	1.07976240808248e-05	73039.4834558824	41267.814453125	0.823624568420219	0.000558720687490144
Q9H6R4	NOL6	1.11446100028941e-05	6868.71211511949	1868.27908325195	1.87755763934998	0.000558720687490144
O75044	SRGAP2	1.17002121905233e-05	10028.5741613051	2184.62438964844	2.19799910844653	0.000561814984974236
Q12768	WASHC5	1.16414008642933e-05	55912.9200367647	27318.16796875	1.0332681456365	0.000561814984974236
Q13724	MOGS	1.21435524672358e-05	116917.611902574	49388.91796875	1.24320378915779	0.000561814984974236
Q15075	EEA1	1.19685004136671e-05	81813.7518382353	40523.09375	1.01356343924037	0.000561814984974236
Q53FA7	TP53I3	1.207201416857e-05	110258.045496324	13104.4719238281	3.07264272194715	0.000561814984974236
Q9H3P7	ACBD3	1.21654915544169e-05	44638.9389935662	21417.7890625	1.05942581882887	0.000561814984974236
Q9NVZ3	NECAP2	1.17516472147095e-05	50172.2553136489	5140.56872558594	3.28660928353379	0.000561814984974236
Q9UKK3	PARP4	1.1471371072686e-05	23200.2489659926	2206.86566925049	3.39341598366596	0.000561814984974236
P35573	AGL	1.24647063297415e-05	6040609.34558824	11378156.75	-0.913500994560493	0.000570713092379704
P53621	COPA	1.27098493801155e-05	259394.798713235	113213.30859375	1.19609324675377	0.000577005619739649
A0FGR8	ESYT2	1.28524540180182e-05	202100.500459559	103091.392578125	0.971135017365263	0.000578576438441374
P49754	VPS41	1.29673263319119e-05	7367.35535386029	4052.07507324219	0.862129932629315	0.0005788830596671
Q15436	SEC23A	1.33205042010702e-05	162677.909466912	85392.8984375	0.929813461084708	0.000584901155779777
Q9BQE5	APOL2	1.32521171820092e-05	46709.2715418199	5733.10717773438	3.02606816990482	0.000584901155779777
P42224	STAT1	1.35213135985643e-05	765380.924632353	33675.337890625	4.50637077838083	0.000588891682500073
Q9BR09	NEURL2	1.37093030832361e-05	14549.5892836627	501.918273925781	4.8545106422302	0.000592264004974967
Q8WWI1	LMO7	1.45283538898987e-05	105772.001838235	48497.119140625	1.12495708960124	0.000617028067839496
Q9H3N1	TMX1	1.46280688100833e-05	97376.5436580882	52261.783203125	0.897790337616409	0.000617028067839496
Q9UPT5	EXOC7	1.44821849717476e-05	29858.9093520221	11230.0270996094	1.41067159843651	0.000617028067839496
O15145	ARPC3	1.50920727049296e-05	86662.7637867647	33472.5092773438	1.37239243931796	0.000630670114548212
Q13576	IQGAP2	1.51869413434234e-05	43639.764073989	7979.47131347656	2.45109744489437	0.000630670114548212
Q7Z3J2	VPS35L	1.56613278494719e-05	21783.9580652574	11960.9567871094	0.864812699315105	0.000643622773958082
Q96T37	RBM15	1.57391419429734e-05	13584.7252699908	7211.1455078125	0.913484980479761	0.000643622773958082
P14317	HCLS1	1.58926178817266e-05	73454.7676642923	710.786193847656	6.68926837343711	0.000644975409033406
Q8WXE9	STON2	1.60552115003692e-05	10846.271886489	3761.8125	1.52731593317492	0.000646674947424644
Q9BZ29	DOCK9	1.63480269778054e-05	12888.6130658318	958.159454345703	3.74818254013765	0.000653555078508234
P41240	CSK	1.68365760153442e-05	78881.9595588235	25504.646484375	1.62887872232113	0.000653576360247817
Q8N8S7	ENAH	1.66099652461274e-05	22832.4644990809	11258.9484863281	1.01988636294424	0.000653576360247817
Q96DG6	CMBL	1.68205156344301e-05	958561.959558824	3529054.9375	-1.88033870482934	0.000653576360247817
Q9H6Z4	RANBP3	1.67561754382532e-05	28524.7845243566	11089.4782714844	1.36289440610255	0.000653576360247817
P42331	ARHGAP25	1.71641601766664e-05	13494.0056008732	576.157011508942	4.54721100822221	0.000661499324218718
P28838	LAP3	1.76388245509797e-05	1528869.02389706	268192.6953125	2.5111175903641	0.000664084182050703
P29372	MPG	1.77270931553576e-05	10905.7758932675	2920.71929931641	1.9002029296993	0.000664084182050703
Q5SRE7	PHYHD1	1.74514198858423e-05	73855.2678079044	25188.068359375	1.55190306279527	0.000664084182050703
Q6IN85	PPP4R3A	1.76906010625518e-05	13810.0627872243	4155.25933837891	1.73236229670244	0.000664084182050703
P57737	CORO7	1.80009627130579e-05	46764.4448529412	8620.02941894531	2.43948000734676	0.000665042463819665
Q71UM5	RPS27L	1.79725714200708e-05	162954.893841912	73635.150390625	1.14598656816189	0.000665042463819665
Q10567	AP1B1	1.82074945548243e-05	257663.059742647	118614.619140625	1.11919172336914	0.000668065399521876
P52564	MAP2K6	1.85506885882485e-05	289647.400275735	498000.78125	-0.78185318633792	0.000671459721400319
Q15629	TRAM1	1.84351999293098e-05	49197.9581801471	12115.5150146484	2.02162363533455	0.000671459721400319
P26639	TARS1	1.88741747787464e-05	216643.179227941	126848.41796875	0.77220391585162	0.000678583585837213
P42285	MTREX	1.94353576082203e-05	8490.91268382353	3806.12707519531	1.15721691133601	0.000692285367835467
P68402	PAFAH1B2	1.95186771605953e-05	103494.477251838	54129.1005859375	0.935050809607772	0.000692285367835467
Q9H6N6	MYH16	1.96464166671835e-05	296643.598920037	819228.890625	-1.46553770267484	0.000692285367835467
Q9UBF2	COPG2	1.97721973639773e-05	33572.8427159927	19675.8896484375	0.770792509623912	0.000692285367835467
P05023	ATP1A1	2.04147546107094e-05	203744.744944853	87552.20703125	1.21853091937788	0.000706816460185499
P32455	GBP1	2.04511016107434e-05	455696.636029412	10411.7211914063	5.45165467320436	0.000706816460185499
Q3KQV9	UAP1L1	2.09395706930101e-05	70710.1801470588	17694.7604980469	1.99851417007346	0.000719059488477276
Q8TDX7	NEK7	2.11736255382292e-05	110959.912224265	243599.3359375	-1.13447757127789	0.000722465681581491
Q15029	EFTUD2	2.14760343888912e-05	79904.6753216912	42282.58203125	0.91818232045601	0.000728146305198039
P61160	ACTR2	2.17880593245486e-05	418983.643382353	125399.138671875	1.74035498042062	0.000734079457871741
P08571	CD14	2.20701003653557e-05	44668.2458065257	7613.2177734375	2.5524818608401	0.00073484276858588
Q14353	GAMT	2.20850636069305e-05	452865.346507353	798800.734375	-0.818755317360708	0.00073484276858588
Q14108	SCARB2	2.29624673178017e-05	114764.862132353	56461.626953125	1.02331283818505	0.00075932060136706
Q9Y6A9	SPCS1	2.32567293955931e-05	51695.0868566177	18161.9855957031	1.50902580265401	0.000764333124982775
Q12905	ILF2	2.38790426254158e-05	314127.397058824	127886.197265625	1.29647793129129	0.000779687583325545
Q14344	GNA13	2.40150179669059e-05	91968.3308823529	44998.666015625	1.0312228635246	0.000779687583325545
O14656	TOR1A	2.51669111268435e-05	33801.7048483456	19570.587890625	0.788335203122544	0.000782836089583971
O15144	ARPC2	2.45663259598351e-05	297238.739889706	89960.96484375	1.72423508206134	0.000782836089583971
O43809	NUDT21	2.52810609479236e-05	66396.7909007353	25304.546875	1.39165986212749	0.000782836089583971
P22570	FDXR	2.42753439862788e-05	104873.279641544	27821.8500976563	1.91430502630534	0.000782836089583971
P38606	ATP6V1A	2.51355349902417e-05	251655.359375	160797.671875	0.646193831946382	0.000782836089583971
Q96RU3	FNBP1	2.48601857393875e-05	26485.8664694393	2456.27917480469	3.43008902766571	0.000782836089583971
Q9BUF5	TUBB6	2.49028292898347e-05	773026.637867647	147268.326171875	2.39206115757357	0.000782836089583971
Q9UKF6	CPSF3	2.52032280623707e-05	22377.8383501838	10351.5070800781	1.11209049251963	0.000782836089583971
P55899	FCGRT	2.59482336314496e-05	98198.1750919118	20684.8684082031	2.24705068958478	0.000794312500363859
Q14978	NOLC1	2.58940975739406e-05	24718.7329388787	7304.60314941406	1.75852950209531	0.000794312500363859
Q8NBJ5	COLGALT1	2.62421204609289e-05	49037.369140625	13703.4836425781	1.83923360904712	0.000794769120808366
Q96KP4	CNDP2	2.62598720147621e-05	645913.930147059	276993.76171875	1.22148324099031	0.000794769120808366
Q92556	ELMO1	2.6807395508111e-05	39086.2475873162	12315.2380371094	1.66609943177555	0.000803086597168596
Q9Y3Z3	SAMHD1	2.68345157538135e-05	318105.066176471	37287.5571289063	3.09269846998921	0.000803086597168596
P09914	IFIT1	2.7197117160645e-05	71890.3696001838	4629.28735351563	3.95662488649375	0.000809416425719862
Q96JD6	AKR1E2	2.75847071255322e-05	596320.200367647	279622.99609375	1.09259903720581	0.000811930088304813
Q9H3G5	CPVL	2.74506653249029e-05	81633.2349494485	17032.876953125	2.26074979594133	0.000811930088304813
P78527	PRKDC	2.8571579256912e-05	174488.748161765	81363.736328125	1.10065844024231	0.000836382240870369
P21127;Q9UQ88	CDK11B;CDK11A	2.90555594875627e-05	17849.9992244945	8849.49365234375	1.01209418008914	0.000844092392525837
Q00653	NFKB2	2.915010129126e-05	14093.1248276654	413.736022949219	5.08665435985207	0.000844092392525837
O95466	FMNL1	2.96418779743423e-05	35804.1092026654	1753.53002929688	4.35096862847998	0.000853717958648128
Q6P2Q9	PRPF8	2.99754191637947e-05	79081.4329044118	39228.89453125	1.01138555524009	0.000858707596045176
Q96D96	HVCN1	3.02075023697112e-05	56873.7053653493	5782.76916503906	3.29767992062525	0.000860753139332676
Q9Y5V3	MAGED1	3.08063595823874e-05	11744.7519818474	608.669982910156	4.26784392085591	0.000873172848057403
Q9NTK5	OLA1	3.1355962357804e-05	930124.584558824	1318319.875	-0.503205685807734	0.000884073107109242
P01903	HLA-DRA	3.15873116785115e-05	307304.437959559	30256.6220703125	3.34429808534591	0.000885933134354901
P33908	MAN1A1	3.19648570989838e-05	9707.3133688534	346.125946044922	4.80554095635951	0.000889126113422687
Q8WUF8	FAM172A	3.20331043290234e-05	13557.220099954	897.779174804688	3.91495087791284	0.000889126113422687
Q9NRW7	VPS45	3.24096958266718e-05	24301.1568818934	13231.6616210938	0.876921721596213	0.000894941961564335
Q96CW1	AP2M1	3.27291714721362e-05	219707.928768382	80575.5302734375	1.44715534666526	0.000899129085006327
Q8WWP7	GIMAP1	3.29519802427669e-05	50254.7513786765	15482.9213867188	1.69848911551593	0.000900631419186235
P30260	CDC27	3.35702102311479e-05	10760.3838465074	633.620422363281	4.08369178412438	0.0009082606879205
Q7Z2W4	ZC3HAV1	3.34180509103075e-05	14581.1119887408	1291.06811523438	3.49634671393072	0.0009082606879205
P52630	STAT2	3.5072933373604e-05	15757.3827335133	1194.22277832031	3.72067647301913	0.000944149266745711
Q15084	PDIA6	3.58450079376003e-05	673125.038602941	405203.5078125	0.732224298495149	0.000955331878217535
Q5VZ89	DENND4C	3.57538847209268e-05	11434.9749253217	5580.88354492188	1.03462927138165	0.000955331878217535
O75533	SF3B1	3.62821977804639e-05	126015.050321691	62577.6484375	1.00985364406765	0.000957456815319927
Q8ND71	GIMAP8	3.61188742600625e-05	26991.9887408088	7034.91784667969	1.93972073423059	0.000957456815319927
P35606	COPB2	3.68606819011452e-05	201379.119025735	86104.974609375	1.22572884818652	0.00095855666477881
Q9P258	RCC2	3.65455215428973e-05	63114.9931066177	12691.9604492188	2.31395416517563	0.00095855666477881
Q9Y696	CLIC4	3.66920506628115e-05	87225.4946001838	32296.5341796875	1.43332584938255	0.00095855666477881
P60866	RPS20	3.82506052817158e-05	448000.246323529	255306.703125	0.811262458229652	0.000989896099005564
P50502	ST13	3.8761366947181e-05	766101.52757353	1366837.75	-0.835235550958125	0.000995575658036426
Q9Y6N5	SQOR	3.88417607858154e-05	186919.663143382	35205.7216796875	2.40849554225308	0.000995575658036426
Q9BZZ5	API5	3.90617529639753e-05	37928.2459788603	18216.5883789063	1.05794066497219	0.000996446717276265
O60645	EXOC3	4.09280875107095e-05	38782.3250229779	19673.7421875	0.979054565274508	0.00100922472166448
P13667	PDIA4	4.04992696507607e-05	259641.8984375	86079.740234375	1.5927608207248	0.00100922472166448
P18440	NAT1	4.18099023323283e-05	9796.4368537454	460.071655273438	4.40919422679194	0.00100922472166448
P23381	WARS1	4.17933283412155e-05	828186.884191177	237430.1953125	1.80244685681069	0.00100922472166448
P62314	SNRPD1	4.05227020670081e-05	96737.8345588235	32989.9028320313	1.55201198457636	0.00100922472166448
Q6NUK1	SLC25A24	4.18233877561163e-05	292036.318933824	156978.4921875	0.895571702586743	0.00100922472166448
Q8IZ07	ANKRD13A	4.10162486678734e-05	17283.6200310202	4459.8935546875	1.95400079147354	0.00100922472166448
Q8TC07	TBC1D15	4.17713733250061e-05	24858.4323874081	12099.8781738281	1.03862357135724	0.00100922472166448
Q9HD45	TM9SF3	4.13535741424457e-05	66421.4547334559	24022.45703125	1.46720554730928	0.00100922472166448
Q9NQP4	PFDN4	4.00475855576524e-05	3323956.79411765	10681310.5	-1.68411526384061	0.00100922472166448
Q9NY65	TUBA8	4.07139126404684e-05	1358388.38051471	2080463.3125	-0.615009517726037	0.00100922472166448
Q9Y520	PRRC2C	4.06152250692096e-05	19694.6983857996	5484.72912597656	1.84405203124366	0.00100922472166448
Q96C86	DCPS	4.24974622788277e-05	51242.6422334559	24022.1958007813	1.09291678230399	0.00102089195259049
Q8TCE6	DENND10	4.27527715034359e-05	19959.220301011	9150.1552734375	1.12502957265919	0.00102244016492815
O94979	SEC31A	4.47284488404125e-05	198028.060661765	97612.0234375	1.02055932654716	0.00106493466861373
O60760	HPGDS	4.53404777615116e-05	66093.9440487132	3412.47680664063	4.27520423438598	0.00106999532761418
O94804	STK10	4.51547082156306e-05	29452.9016831342	2255.00238037109	3.70656927947516	0.00106999532761418
O43414	ERI3	4.61103870666292e-05	116114.045151654	201517.88671875	-0.795372565998103	0.00107002281935417
P19971	TYMP	4.67398431452075e-05	144198.662396599	4978.93603515625	4.85578676011029	0.00107002281935417
P43686	PSMC4	4.59437605040536e-05	185577.742647059	136839.041015625	0.439533248896263	0.00107002281935417
P83731	RPL24	4.57241438509875e-05	301434.329963235	187076.90625	0.688204545435059	0.00107002281935417
Q5T447	HECTD3	4.61849505064688e-05	23260.0034466912	12522.6843261719	0.893192261326936	0.00107002281935417
Q8WYA6	CTNNBL1	4.66390400712331e-05	40034.1379825368	24872.087890625	0.686645119064553	0.00107002281935417
Q9UPN3	MACF1	4.65508424554702e-05	24705.5010914522	9401.91845703125	1.39365180576514	0.00107002281935417
Q92747	ARPC1A	4.69953832114991e-05	87974.6422334559	47989.322265625	0.874344240875031	0.00107129475686809
Q9UJ70	NAGK	4.74330870902708e-05	427582.691176471	173631.68359375	1.3001649152511	0.00107669087941771
O60832	DKC1	4.76559112607702e-05	32296.6001263787	8846.34167480469	1.8680663552977	0.00107718445832888
P61769	B2M	4.87011475344183e-05	345035.840992647	40286.08984375	3.09835673064166	0.00109618507286504
P58335	ANTXR2	4.98039690460934e-05	8900.9631060432	2408.59368896484	1.88517155114361	0.00111631741497875
P48444	ARCN1	5.04432792151298e-05	186576.034926471	93820.580078125	0.991771985669094	0.00112593602814771
P20700	LMNB1	5.070428345471e-05	167261.015395221	26228.6376953125	2.67283144111121	0.00112706575297461
Q92888	ARHGEF1	5.10197161450482e-05	34334.0340073529	6713.57348632813	2.35427170693241	0.00112939098921084
Q06210	GFPT1	5.12993394681144e-05	46513.2699908088	12562.3565673828	1.88842040590452	0.00113090766062012
Q7L5N7	LPCAT2	5.1591753561534e-05	20299.7520105699	3166.18920898438	2.68018714085458	0.00113269272061122
O43747	AP1G1	5.18272019202448e-05	78530.0167738971	51343.271484375	0.613040882212943	0.00113321763545613
P17844	DDX5	5.26875053611325e-05	193824.361213235	61878.9892578125	1.64720505878893	0.00114270026809549
Q9NR45	NANS	5.25319121224676e-05	125835.686580882	49675.9833984375	1.34089164910405	0.00114270026809549
Q9Y673	ALG5	5.29214588022913e-05	55783.1352251838	23900.0107421875	1.22275739245003	0.0011431461887253
Q9Y6D6	ARFGEF1	5.42692726495441e-05	17960.9350873162	8364.39404296875	1.1023570584455	0.0011675521830667
P00488	F13A1	5.54728380782966e-05	1840787.18566176	271169.74609375	2.76304939161696	0.0011745770497448
P27708	CAD	5.49248211750776e-05	26076.1417451746	5224.06903076172	2.3192084200708	0.0011745770497448
Q6NYC8	PPP1R18	5.54099684527419e-05	18984.533677045	1081.64775085449	4.13218873138309	0.0011745770497448
Q96TA1	NIBAN2	5.54621045781494e-05	39104.5060891544	16202.5446777344	1.27102541095996	0.0011745770497448
P46063	RECQL	5.57325855226119e-05	128058.985523897	28390.3471679688	2.17328527456715	0.00117543094741981
